"stdist","st","party","pid","full.name","incumbent","crp.id","npat.id","score","sd","perc","perc.r","perc.d"
"CA53","CA","R",1,"Nick Popaditch",0,"N00031199",120116,1.5,0.79,93.5,87.5,0
"CA6","CA","D",-1,"Doris Matsui",0,"N00027459",28593,-1.16,0.7,18.4,0,61.4
"CA6","CA","R",1,"Joseph McCray",0,"N00034384",138266,0.1,0.11,50.4,6.1,1.90000000000001
"CA7","CA","D",-1,"Ami Bera",0,"N00030717",120030,-1.01,0.48,20.8,0,56.4
"CA7","CA","R",1,"Daniel Lungren",0,"N00011971",16730,1.58,0.74,95.4,91.2,0
"CA8","CA","R",1,"Gregg Imus",0,"N00033376",136165,1.15,0.59,82.5,66.3,0.299999999999997
"CA8","CA","R",1,"Paul Cook",0,"N00034224",58121,1.19,0.7,83.9,69,0.299999999999997
"CA9","CA","D",-1,"Gerald McNerney",0,"N00026926",29474,-0.44,0.09,36.2,0,24.7
"CA9","CA","R",1,"Ricky Gill",0,"N00033038",136175,1.18,0.71,83.4,68.1,0.299999999999997
"CO1","CO","D",-1,"Diana DeGette",1,"N00006134",561,-1.39,0.7,11.3,0,76.3
"CO1","CO","R",1,"Danny Stroud",0,"N00034003",125470,1.35,0.87,87.4,75.7,0
"CO2","CO","D",-1,"Jared Polis",1,"N00029127",106220,-1.25,0.62,16.1,0,66.2
"CO2","CO","R",1,"Kevin Lundberg",0,"N00034005",16898,1.37,0.78,88.3,77.4,0
"CO3","CO","D",-1,"Salvatore Pace",0,"N00033279",106588,-1.31,0.65,14.7,0,69.1
"CO3","CO","R",1,"Scott Tipton",1,"N00027509",65403,0.59,0.26,70.1,42.3,0.299999999999997
"CO4","CO","D",-1,"Brandon Shaffer",0,"N00033380",29854,-1.08,0.63,19.8,0,58.5
"CO4","CO","R",1,"Cory Gardner",1,"N00030780",30004,1.41,0.74,90.1,80.8,0
"CO5","CO","R",1,"Douglas Lamborn",1,"N00028133",2698,1.98,0.97,100,100,0
"CO6","CO","D",-1,"Joe Miklosi",0,"N00033381",106458,-1.54,0.86,4.4,0,90.7
"CO6","CO","R",1,"Michael Coffman",1,"N00024753",1535,0.85,0.36,80.6,62.7,0.299999999999997
"CO7","CO","D",-1,"Ed Perlmutter",1,"N00027510",2653,-0.56,0.24,31.2,0,34.8
"CO7","CO","R",1,"Joe Coors",0,"N00033880",135695,1.46,0.86,91.5,83.5,0
"CT1","CT","D",-1,"John Larson",1,"N00000575",17188,-1.6,0.78,3.2,0,93.4
"CT2","CT","D",-1,"Joseph Courtney",1,"N00024842",30333,-1.33,0.93,13.6,0,71.5
"CT3","CT","D",-1,"Rosa DeLauro",1,"N00000615",26788,-0.89,0.12,22.8,0,52.1
"CT3","CT","R",1,"Wayne Winsley",0,"N00033596",137607,1.34,0.84,86.9,74.7,0
"CT4","CT","D",-1,"James Himes",1,"N00029070",106744,-1.41,0.74,10.5,0,77.9
"CT4","CT","R",1,"Steve Obsitnik",0,"N00033595",137591,-0.05,0.12,46.4,1.5,5.09999999999999
"CT5","CT","D",-1,"Elizabeth Esty",0,"N00033217",72826,-1.32,0.7,14.2,0,70.2
"CT5","CT","R",1,"Andrew Roraback",0,"N00033736",7244,0.01,0.1,47.8,2.2,2.90000000000001
"DE1","DE","R",1,"Thomas Kovach",0,"N00033719",110895,-0.3,0.41,40.1,0.2,16.8
"FL1","FL","D",-1,"James Bryan",0,"N00030237",107652,-1.44,0.69,8,0,83.2
"FL1","FL","R",1,"Jefferson Miller",1,"N00013846",17276,0.56,0.14,68.3,38.8,0.299999999999997
"FL10","FL","D",-1,"Val Demings",0,"N00033449",137637,-1.17,0.87,18,0,62.2
